Voltage ; Angle ; Time ; Step
Voltage Value: 5.100000 ; Angle Value: 132.349731 ; Time Value Ms: 4170.000000; Step: 17 
Voltage Value: 5.100000 ; Angle Value: 128.415298 ; Time Value Ms: 4175.000000; Step: 17 
Voltage Value: 5.400000 ; Angle Value: 129.836060 ; Time Value Ms: 4180.000000; Step: 18 
Voltage Value: 5.400000 ; Angle Value: 141.420761 ; Time Value Ms: 4185.000000; Step: 18 
Voltage Value: 5.700000 ; Angle Value: 144.371582 ; Time Value Ms: 4190.000000; Step: 19 
Voltage Value: 5.700000 ; Angle Value: 119.234970 ; Time Value Ms: 4195.000000; Step: 19 
Voltage Value: 12.000000 ; Angle Value: 141.202179 ; Time Value Ms: 4200.000000; Step: 20 
Voltage Value: 12.000000 ; Angle Value: 129.836060 ; Time Value Ms: 4205.000000; Step: 20 
Voltage Value: 12.000000 ; Angle Value: 116.393440 ; Time Value Ms: 4210.000000; Step: 21 
Voltage Value: 12.000000 ; Angle Value: 141.311478 ; Time Value Ms: 4215.000000; Step: 21 
Voltage Value: 12.000000 ; Angle Value: 124.043716 ; Time Value Ms: 4220.000000; Step: 22 
Voltage Value: 12.000000 ; Angle Value: 127.431694 ; Time Value Ms: 4225.000000; Step: 22 
Voltage Value: 12.000000 ; Angle Value: 139.672134 ; Time Value Ms: 4230.000000; Step: 23 
Voltage Value: 12.000000 ; Angle Value: 136.065567 ; Time Value Ms: 4235.000000; Step: 23 
Voltage Value: 12.000000 ; Angle Value: 136.830597 ; Time Value Ms: 4240.000000; Step: 24 
Voltage Value: 12.000000 ; Angle Value: 129.180328 ; Time Value Ms: 4245.000000; Step: 24 
Voltage Value: 12.000000 ; Angle Value: 116.502731 ; Time Value Ms: 4250.000000; Step: 25 
Voltage Value: 12.000000 ; Angle Value: 127.978142 ; Time Value Ms: 4255.000000; Step: 25 
Voltage Value: 12.000000 ; Angle Value: 136.065567 ; Time Value Ms: 4260.000000; Step: 26 
Voltage Value: 12.000000 ; Angle Value: 135.519119 ; Time Value Ms: 4265.000000; Step: 26 
Voltage Value: 12.000000 ; Angle Value: 113.879784 ; Time Value Ms: 4270.000000; Step: 27 
Voltage Value: 12.000000 ; Angle Value: 136.612015 ; Time Value Ms: 4275.000000; Step: 27 
Voltage Value: 12.000000 ; Angle Value: 127.978142 ; Time Value Ms: 4280.000000; Step: 28 
Voltage Value: 12.000000 ; Angle Value: 118.360657 ; Time Value Ms: 4285.000000; Step: 28 
Voltage Value: 12.000000 ; Angle Value: 129.180328 ; Time Value Ms: 4290.000000; Step: 29 
Voltage Value: 12.000000 ; Angle Value: 130.601089 ; Time Value Ms: 4295.000000; Step: 29 
Voltage Value: 12.000000 ; Angle Value: 111.366119 ; Time Value Ms: 4300.000000; Step: 30 
Voltage Value: 12.000000 ; Angle Value: 109.617485 ; Time Value Ms: 4305.000000; Step: 30 
Voltage Value: 12.000000 ; Angle Value: 106.557381 ; Time Value Ms: 4310.000000; Step: 31 
Voltage Value: 12.000000 ; Angle Value: 111.803276 ; Time Value Ms: 4315.000000; Step: 31 
Voltage Value: 12.000000 ; Angle Value: 129.071045 ; Time Value Ms: 4320.000000; Step: 32 
Voltage Value: 12.000000 ; Angle Value: 106.338799 ; Time Value Ms: 4325.000000; Step: 32 
Voltage Value: 12.000000 ; Angle Value: 108.306007 ; Time Value Ms: 4330.000000; Step: 33 
Voltage Value: 12.000000 ; Angle Value: 120.000000 ; Time Value Ms: 4335.000000; Step: 33 
Voltage Value: 12.000000 ; Angle Value: 106.010925 ; Time Value Ms: 4340.000000; Step: 34 
Voltage Value: 12.000000 ; Angle Value: 108.961746 ; Time Value Ms: 4345.000000; Step: 34 
Voltage Value: 12.000000 ; Angle Value: 122.076500 ; Time Value Ms: 4350.000000; Step: 35 
Voltage Value: 12.000000 ; Angle Value: 109.508194 ; Time Value Ms: 4355.000000; Step: 35 
Voltage Value: 12.000000 ; Angle Value: 106.229507 ; Time Value Ms: 4360.000000; Step: 36 
Voltage Value: 12.000000 ; Angle Value: 121.092896 ; Time Value Ms: 4365.000000; Step: 36 
Voltage Value: 12.000000 ; Angle Value: 117.923500 ; Time Value Ms: 4370.000000; Step: 37 
Voltage Value: 12.000000 ; Angle Value: 123.278687 ; Time Value Ms: 4375.000000; Step: 37 
Voltage Value: 12.000000 ; Angle Value: 102.622948 ; Time Value Ms: 4380.000000; Step: 38 
Voltage Value: 12.000000 ; Angle Value: 117.595627 ; Time Value Ms: 4385.000000; Step: 38 
Voltage Value: 12.000000 ; Angle Value: 118.579231 ; Time Value Ms: 4390.000000; Step: 39 
Voltage Value: 12.000000 ; Angle Value: 112.896172 ; Time Value Ms: 4395.000000; Step: 39 
